"Number","Name","Type1","Type2","Total","HP","Attack","Defense","SpecialAtk","SpecialDef","Speed","Generation","Legendary"
197,"Umbreon","Dark",NA,525,95,65,110,60,130,65,2,FALSE
198,"Murkrow","Dark","Flying",405,60,85,42,85,42,91,2,FALSE
199,"Slowking","Water","Psychic",490,95,75,80,100,110,30,2,FALSE
200,"Misdreavus","Ghost",NA,435,60,60,60,85,85,85,2,FALSE
201,"Unown","Psychic",NA,336,48,72,48,72,48,48,2,FALSE
202,"Wobbuffet","Psychic",NA,405,190,33,58,33,58,33,2,FALSE
203,"Girafarig","Normal","Psychic",455,70,80,65,90,65,85,2,FALSE
204,"Pineco","Bug",NA,290,50,65,90,35,35,15,2,FALSE
205,"Forretress","Bug","Steel",465,75,90,140,60,60,40,2,FALSE
206,"Dunsparce","Normal",NA,415,100,70,70,65,65,45,2,FALSE
207,"Gligar","Ground","Flying",430,65,75,105,35,65,85,2,FALSE
208,"Steelix","Steel","Ground",510,75,85,200,55,65,30,2,FALSE
208,"Steelix Mega Steelix","Steel","Ground",610,75,125,230,55,95,30,2,FALSE
209,"Snubbull","Fairy",NA,300,60,80,50,40,40,30,2,FALSE
210,"Granbull","Fairy",NA,450,90,120,75,60,60,45,2,FALSE
211,"Qwilfish","Water","Poison",430,65,95,75,55,55,85,2,FALSE
212,"Scizor","Bug","Steel",500,70,130,100,55,80,65,2,FALSE
212,"Scizor Mega Scizor","Bug","Steel",600,70,150,140,65,100,75,2,FALSE
213,"Shuckle","Bug","Rock",505,20,10,230,10,230,5,2,FALSE
214,"Heracross","Bug","Fighting",500,80,125,75,40,95,85,2,FALSE
214,"Heracross Mega Heracross","Bug","Fighting",600,80,185,115,40,105,75,2,FALSE
215,"Sneasel","Dark","Ice",430,55,95,55,35,75,115,2,FALSE
216,"Teddiursa","Normal",NA,330,60,80,50,50,50,40,2,FALSE
217,"Ursaring","Normal",NA,500,90,130,75,75,75,55,2,FALSE
218,"Slugma","Fire",NA,250,40,40,40,70,40,20,2,FALSE
219,"Magcargo","Fire","Rock",410,50,50,120,80,80,30,2,FALSE
220,"Swinub","Ice","Ground",250,50,50,40,30,30,50,2,FALSE
221,"Piloswine","Ice","Ground",450,100,100,80,60,60,50,2,FALSE
222,"Corsola","Water","Rock",380,55,55,85,65,85,35,2,FALSE
223,"Remoraid","Water",NA,300,35,65,35,65,35,65,2,FALSE
224,"Octillery","Water",NA,480,75,105,75,105,75,45,2,FALSE
225,"Delibird","Ice","Flying",330,45,55,45,65,45,75,2,FALSE
226,"Mantine","Water","Flying",465,65,40,70,80,140,70,2,FALSE
227,"Skarmory","Steel","Flying",465,65,80,140,40,70,70,2,FALSE
228,"Houndour","Dark","Fire",330,45,60,30,80,50,65,2,FALSE
229,"Houndoom","Dark","Fire",500,75,90,50,110,80,95,2,FALSE
229,"Houndoom Mega Houndoom","Dark","Fire",600,75,90,90,140,90,115,2,FALSE
230,"Kingdra","Water","Dragon",540,75,95,95,95,95,85,2,FALSE
231,"Phanpy","Ground",NA,330,90,60,60,40,40,40,2,FALSE
232,"Donphan","Ground",NA,500,90,120,120,60,60,50,2,FALSE
233,"Porygon2","Normal",NA,515,85,80,90,105,95,60,2,FALSE
234,"Stantler","Normal",NA,465,73,95,62,85,65,85,2,FALSE
235,"Smeargle","Normal",NA,250,55,20,35,20,45,75,2,FALSE
236,"Tyrogue","Fighting",NA,210,35,35,35,35,35,35,2,FALSE
237,"Hitmontop","Fighting",NA,455,50,95,95,35,110,70,2,FALSE
238,"Smoochum","Ice","Psychic",305,45,30,15,85,65,65,2,FALSE
239,"Elekid","Electric",NA,360,45,63,37,65,55,95,2,FALSE
240,"Magby","Fire",NA,365,45,75,37,70,55,83,2,FALSE
241,"Miltank","Normal",NA,490,95,80,105,40,70,100,2,FALSE
242,"Blissey","Normal",NA,540,255,10,10,75,135,55,2,FALSE
243,"Raikou","Electric",NA,580,90,85,75,115,100,115,2,TRUE
244,"Entei","Fire",NA,580,115,115,85,90,75,100,2,TRUE
245,"Suicune","Water",NA,580,100,75,115,90,115,85,2,TRUE
246,"Larvitar","Rock","Ground",300,50,64,50,45,50,41,2,FALSE
247,"Pupitar","Rock","Ground",410,70,84,70,65,70,51,2,FALSE
248,"Tyranitar","Rock","Dark",600,100,134,110,95,100,61,2,FALSE
248,"Tyranitar Mega Tyranitar","Rock","Dark",700,100,164,150,95,120,71,2,FALSE
249,"Lugia","Psychic","Flying",680,106,90,130,90,154,110,2,TRUE
250,"Ho-oh","Fire","Flying",680,106,130,90,110,154,90,2,TRUE
251,"Celebi","Psychic","Grass",600,100,100,100,100,100,100,2,FALSE
