"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
183,"Marill"," ","Water","Fairy",250,70,20,50,20,50,40,2
184,"Azumarill"," ","Water","Fairy",420,100,50,80,60,80,50,2
185,"Sudowoodo"," ","Rock"," ",410,70,100,115,30,65,30,2
186,"Politoed"," ","Water"," ",500,90,75,75,90,100,70,2
187,"Hoppip"," ","Grass","Flying",250,35,35,40,35,55,50,2
188,"Skiploom"," ","Grass","Flying",340,55,45,50,45,65,80,2
189,"Jumpluff"," ","Grass","Flying",460,75,55,70,55,95,110,2
190,"Aipom"," ","Normal"," ",360,55,70,55,40,55,85,2
191,"Sunkern"," ","Grass"," ",180,30,30,30,30,30,30,2
192,"Sunflora"," ","Grass"," ",425,75,75,55,105,85,30,2
193,"Yanma"," ","Bug","Flying",390,65,65,45,75,45,95,2
194,"Wooper"," ","Water","Ground",210,55,45,45,25,25,15,2
195,"Quagsire"," ","Water","Ground",430,95,85,85,65,65,35,2
196,"Espeon"," ","Psychic"," ",525,65,65,60,130,95,110,2
197,"Umbreon"," ","Dark"," ",525,95,65,110,60,130,65,2
198,"Murkrow"," ","Dark","Flying",405,60,85,42,85,42,91,2
199,"Slowking"," ","Water","Psychic",490,95,75,80,100,110,30,2
200,"Misdreavus"," ","Ghost"," ",435,60,60,60,85,85,85,2
201,"Unown"," ","Psychic"," ",336,48,72,48,72,48,48,2
202,"Wobbuffet"," ","Psychic"," ",405,190,33,58,33,58,33,2
203,"Girafarig"," ","Normal","Psychic",455,70,80,65,90,65,85,2
204,"Pineco"," ","Bug"," ",290,50,65,90,35,35,15,2
205,"Forretress"," ","Bug","Steel",465,75,90,140,60,60,40,2
206,"Dunsparce"," ","Normal"," ",415,100,70,70,65,65,45,2
207,"Gligar"," ","Ground","Flying",430,65,75,105,35,65,85,2
208,"Steelix"," ","Steel","Ground",510,75,85,200,55,65,30,2
209,"Snubbull"," ","Fairy"," ",300,60,80,50,40,40,30,2
210,"Granbull"," ","Fairy"," ",450,90,120,75,60,60,45,2
211,"Qwilfish"," ","Water","Poison",440,65,95,85,55,55,85,2
212,"Scizor"," ","Bug","Steel",500,70,130,100,55,80,65,2
213,"Shuckle"," ","Bug","Rock",505,20,10,230,10,230,5,2
214,"Heracross"," ","Bug","Fighting",500,80,125,75,40,95,85,2
215,"Sneasel"," ","Dark","Ice",430,55,95,55,35,75,115,2
216,"Teddiursa"," ","Normal"," ",330,60,80,50,50,50,40,2
217,"Ursaring"," ","Normal"," ",500,90,130,75,75,75,55,2
218,"Slugma"," ","Fire"," ",250,40,40,40,70,40,20,2
219,"Magcargo"," ","Fire","Rock",430,60,50,120,90,80,30,2
220,"Swinub"," ","Ice","Ground",250,50,50,40,30,30,50,2
221,"Piloswine"," ","Ice","Ground",450,100,100,80,60,60,50,2
222,"Corsola"," ","Water","Rock",410,65,55,95,65,95,35,2
223,"Remoraid"," ","Water"," ",300,35,65,35,65,35,65,2
224,"Octillery"," ","Water"," ",480,75,105,75,105,75,45,2
225,"Delibird"," ","Ice","Flying",330,45,55,45,65,45,75,2
226,"Mantine"," ","Water","Flying",485,85,40,70,80,140,70,2
227,"Skarmory"," ","Steel","Flying",465,65,80,140,40,70,70,2
228,"Houndour"," ","Dark","Fire",330,45,60,30,80,50,65,2
229,"Houndoom"," ","Dark","Fire",500,75,90,50,110,80,95,2
230,"Kingdra"," ","Water","Dragon",540,75,95,95,95,95,85,2
231,"Phanpy"," ","Ground"," ",330,90,60,60,40,40,40,2
232,"Donphan"," ","Ground"," ",500,90,120,120,60,60,50,2
233,"Porygon2"," ","Normal"," ",515,85,80,90,105,95,60,2
234,"Stantler"," ","Normal"," ",465,73,95,62,85,65,85,2
235,"Smeargle"," ","Normal"," ",250,55,20,35,20,45,75,2
236,"Tyrogue"," ","Fighting"," ",210,35,35,35,35,35,35,2
237,"Hitmontop"," ","Fighting"," ",455,50,95,95,35,110,70,2
238,"Smoochum"," ","Ice","Psychic",305,45,30,15,85,65,65,2
239,"Elekid"," ","Electric"," ",360,45,63,37,65,55,95,2
240,"Magby"," ","Fire"," ",365,45,75,37,70,55,83,2
241,"Miltank"," ","Normal"," ",490,95,80,105,40,70,100,2
242,"Blissey"," ","Normal"," ",540,255,10,10,75,135,55,2
243,"Raikou"," ","Electric"," ",580,90,85,75,115,100,115,2
244,"Entei"," ","Fire"," ",580,115,115,85,90,75,100,2
245,"Suicune"," ","Water"," ",580,100,75,115,90,115,85,2
246,"Larvitar"," ","Rock","Ground",300,50,64,50,45,50,41,2
247,"Pupitar"," ","Rock","Ground",410,70,84,70,65,70,51,2
248,"Tyranitar"," ","Rock","Dark",600,100,134,110,95,100,61,2
249,"Lugia"," ","Psychic","Flying",680,106,90,130,90,154,110,2
250,"Ho-oh"," ","Fire","Flying",680,106,130,90,110,154,90,2
251,"Celebi"," ","Psychic","Grass",600,100,100,100,100,100,100,2
