Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation,Legendary
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,False
690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,False
692,Clauncher,Water,,330,50,53,62,58,63,44,6,False
693,Clawitzer,Water,,500,71,73,88,120,89,59,6,False
694,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,False
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,False
698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False
700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,False
702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
703,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,False
704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False
705,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,False
706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False
707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False
708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,False
709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,False
710,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False
710,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,False
710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False
710,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,False
711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
711,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,False
711,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False
711,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False
712,Bergmite,Ice,,304,55,69,85,32,35,28,6,False
713,Avalugg,Ice,,514,95,117,184,44,46,28,6,False
714,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,False
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
716,Xerneas,Fairy,,680,126,131,95,131,98,99,6,True
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
