"Number","Name","Type1","Type2","Total","HP","Attack","Defense","SpecialAtk","SpecialDef","Speed","Generation","Legendary"
47,"Parasect","Bug","Grass",405,60,95,80,60,80,30,1,FALSE
48,"Venonat","Bug","Poison",305,60,55,50,40,55,45,1,FALSE
49,"Venomoth","Bug","Poison",450,70,65,60,90,75,90,1,FALSE
50,"Diglett","Ground",NA,265,10,55,25,35,45,95,1,FALSE
51,"Dugtrio","Ground",NA,405,35,80,50,50,70,120,1,FALSE
52,"Meowth","Normal",NA,290,40,45,35,40,40,90,1,FALSE
53,"Persian","Normal",NA,440,65,70,60,65,65,115,1,FALSE
54,"Psyduck","Water",NA,320,50,52,48,65,50,55,1,FALSE
55,"Golduck","Water",NA,500,80,82,78,95,80,85,1,FALSE
56,"Mankey","Fighting",NA,305,40,80,35,35,45,70,1,FALSE
57,"Primeape","Fighting",NA,455,65,105,60,60,70,95,1,FALSE
58,"Growlithe","Fire",NA,350,55,70,45,70,50,60,1,FALSE
59,"Arcanine","Fire",NA,555,90,110,80,100,80,95,1,FALSE
60,"Poliwag","Water",NA,300,40,50,40,40,40,90,1,FALSE
61,"Poliwhirl","Water",NA,385,65,65,65,50,50,90,1,FALSE
62,"Poliwrath","Water","Fighting",510,90,95,95,70,90,70,1,FALSE
63,"Abra","Psychic",NA,310,25,20,15,105,55,90,1,FALSE
64,"Kadabra","Psychic",NA,400,40,35,30,120,70,105,1,FALSE
65,"Alakazam","Psychic",NA,500,55,50,45,135,95,120,1,FALSE
65,"AlakazamMega Alakazam","Psychic",NA,590,55,50,65,175,95,150,1,FALSE
66,"Machop","Fighting",NA,305,70,80,50,35,35,35,1,FALSE
67,"Machoke","Fighting",NA,405,80,100,70,50,60,45,1,FALSE
68,"Machamp","Fighting",NA,505,90,130,80,65,85,55,1,FALSE
69,"Bellsprout","Grass","Poison",300,50,75,35,70,30,40,1,FALSE
70,"Weepinbell","Grass","Poison",390,65,90,50,85,45,55,1,FALSE
71,"Victreebel","Grass","Poison",490,80,105,65,100,70,70,1,FALSE
72,"Tentacool","Water","Poison",335,40,40,35,50,100,70,1,FALSE
73,"Tentacruel","Water","Poison",515,80,70,65,80,120,100,1,FALSE
74,"Geodude","Rock","Ground",300,40,80,100,30,30,20,1,FALSE
75,"Graveler","Rock","Ground",390,55,95,115,45,45,35,1,FALSE
76,"Golem","Rock","Ground",495,80,120,130,55,65,45,1,FALSE
77,"Ponyta","Fire",NA,410,50,85,55,65,65,90,1,FALSE
78,"Rapidash","Fire",NA,500,65,100,70,80,80,105,1,FALSE
79,"Slowpoke","Water","Psychic",315,90,65,65,40,40,15,1,FALSE
80,"Slowbro","Water","Psychic",490,95,75,110,100,80,30,1,FALSE
80,"SlowbroMega Slowbro","Water","Psychic",590,95,75,180,130,80,30,1,FALSE
81,"Magnemite","Electric","Steel",325,25,35,70,95,55,45,1,FALSE
82,"Magneton","Electric","Steel",465,50,60,95,120,70,70,1,FALSE
83,"Farfetch'd","Normal","Flying",352,52,65,55,58,62,60,1,FALSE
84,"Doduo","Normal","Flying",310,35,85,45,35,35,75,1,FALSE
85,"Dodrio","Normal","Flying",460,60,110,70,60,60,100,1,FALSE
86,"Seel","Water",NA,325,65,45,55,45,70,45,1,FALSE
87,"Dewgong","Water","Ice",475,90,70,80,70,95,70,1,FALSE
88,"Grimer","Poison",NA,325,80,80,50,40,50,25,1,FALSE
89,"Muk","Poison",NA,500,105,105,75,65,100,50,1,FALSE
90,"Shellder","Water",NA,305,30,65,100,45,25,40,1,FALSE
91,"Cloyster","Water","Ice",525,50,95,180,85,45,70,1,FALSE
92,"Gastly","Ghost","Poison",310,30,35,30,100,35,80,1,FALSE
93,"Haunter","Ghost","Poison",405,45,50,45,115,55,95,1,FALSE
94,"Gengar","Ghost","Poison",500,60,65,60,130,75,110,1,FALSE
94,"GengarMega Gengar","Ghost","Poison",600,60,65,80,170,95,130,1,FALSE
95,"Onix","Rock","Ground",385,35,45,160,30,45,70,1,FALSE
96,"Drowzee","Psychic",NA,328,60,48,45,43,90,42,1,FALSE
97,"Hypno","Psychic",NA,483,85,73,70,73,115,67,1,FALSE
98,"Krabby","Water",NA,325,30,105,90,25,25,50,1,FALSE
99,"Kingler","Water",NA,475,55,130,115,50,50,75,1,FALSE
100,"Voltorb","Electric",NA,330,40,30,50,55,55,100,1,FALSE
101,"Electrode","Electric",NA,480,60,50,70,80,80,140,1,FALSE
102,"Exeggcute","Grass","Psychic",325,60,40,80,60,45,40,1,FALSE
103,"Exeggutor","Grass","Psychic",520,95,95,85,125,65,55,1,FALSE
104,"Cubone","Ground",NA,320,50,50,95,40,50,35,1,FALSE
105,"Marowak","Ground",NA,425,60,80,110,50,80,45,1,FALSE
106,"Hitmonlee","Fighting",NA,455,50,120,53,35,110,87,1,FALSE
107,"Hitmonchan","Fighting",NA,455,50,105,79,35,110,76,1,FALSE
108,"Lickitung","Normal",NA,385,90,55,75,60,75,30,1,FALSE
109,"Koffing","Poison",NA,340,40,65,95,60,45,35,1,FALSE
110,"Weezing","Poison",NA,490,65,90,120,85,70,60,1,FALSE
111,"Rhyhorn","Ground","Rock",345,80,85,95,30,30,25,1,FALSE
112,"Rhydon","Ground","Rock",485,105,130,120,45,45,40,1,FALSE
113,"Chansey","Normal",NA,450,250,5,5,35,105,50,1,FALSE
114,"Tangela","Grass",NA,435,65,55,115,100,40,60,1,FALSE
115,"Kangaskhan","Normal",NA,490,105,95,80,40,80,90,1,FALSE
115,"KangaskhanMega Kangaskhan","Normal",NA,590,105,125,100,60,100,100,1,FALSE
116,"Horsea","Water",NA,295,30,40,70,70,25,60,1,FALSE
117,"Seadra","Water",NA,440,55,65,95,95,45,85,1,FALSE
118,"Goldeen","Water",NA,320,45,67,60,35,50,63,1,FALSE
119,"Seaking","Water",NA,450,80,92,65,65,80,68,1,FALSE
120,"Staryu","Water",NA,340,30,45,55,70,55,85,1,FALSE
121,"Starmie","Water","Psychic",520,60,75,85,100,85,115,1,FALSE
122,"Mr. Mime","Psychic","Fairy",460,40,45,65,100,120,90,1,FALSE
123,"Scyther","Bug","Flying",500,70,110,80,55,80,105,1,FALSE
124,"Jynx","Ice","Psychic",455,65,50,35,115,95,95,1,FALSE
125,"Electabuzz","Electric",NA,490,65,83,57,95,85,105,1,FALSE
126,"Magmar","Fire",NA,495,65,95,57,100,85,93,1,FALSE
127,"Pinsir","Bug",NA,500,65,125,100,55,70,85,1,FALSE
127,"PinsirMega Pinsir","Bug","Flying",600,65,155,120,65,90,105,1,FALSE
128,"Tauros","Normal",NA,490,75,100,95,40,70,110,1,FALSE
129,"Magikarp","Water",NA,200,20,10,55,15,20,80,1,FALSE
130,"Gyarados","Water","Flying",540,95,125,79,60,100,81,1,FALSE
130,"GyaradosMega Gyarados","Water","Dark",640,95,155,109,70,130,81,1,FALSE
131,"Lapras","Water","Ice",535,130,85,80,85,95,60,1,FALSE
132,"Ditto","Normal",NA,288,48,48,48,48,48,48,1,FALSE
133,"Eevee","Normal",NA,325,55,55,50,45,65,55,1,FALSE
134,"Vaporeon","Water",NA,525,130,65,60,110,95,65,1,FALSE
135,"Jolteon","Electric",NA,525,65,65,60,110,95,130,1,FALSE
136,"Flareon","Fire",NA,525,65,130,60,95,110,65,1,FALSE
137,"Porygon","Normal",NA,395,65,60,70,85,75,40,1,FALSE
138,"Omanyte","Rock","Water",355,35,40,100,90,55,35,1,FALSE
139,"Omastar","Rock","Water",495,70,60,125,115,70,55,1,FALSE
140,"Kabuto","Rock","Water",355,30,80,90,55,45,55,1,FALSE
141,"Kabutops","Rock","Water",495,60,115,105,65,70,80,1,FALSE
142,"Aerodactyl","Rock","Flying",515,80,105,65,60,75,130,1,FALSE
142,"AerodactylMega Aerodactyl","Rock","Flying",615,80,135,85,70,95,150,1,FALSE
143,"Snorlax","Normal",NA,540,160,110,65,65,110,30,1,FALSE
144,"Articuno","Ice","Flying",580,90,85,100,95,125,85,1,TRUE
145,"Zapdos","Electric","Flying",580,90,90,85,125,90,100,1,TRUE
146,"Moltres","Fire","Flying",580,90,100,90,125,85,90,1,TRUE
147,"Dratini","Dragon",NA,300,41,64,45,50,50,50,1,FALSE
148,"Dragonair","Dragon",NA,420,61,84,65,70,70,70,1,FALSE
149,"Dragonite","Dragon","Flying",600,91,134,95,100,100,80,1,FALSE
150,"Mewtwo","Psychic",NA,680,106,110,90,154,90,130,1,TRUE
150,"MewtwoMega Mewtwo X","Psychic","Fighting",780,106,190,100,154,100,130,1,TRUE
150,"MewtwoMega Mewtwo Y","Psychic",NA,780,106,150,70,194,120,140,1,TRUE
151,"Mew","Psychic",NA,600,100,100,100,100,100,100,1,FALSE
152,"Chikorita","Grass",NA,318,45,49,65,49,65,45,2,FALSE
153,"Bayleef","Grass",NA,405,60,62,80,63,80,60,2,FALSE
154,"Meganium","Grass",NA,525,80,82,100,83,100,80,2,FALSE
155,"Cyndaquil","Fire",NA,309,39,52,43,60,50,65,2,FALSE
156,"Quilava","Fire",NA,405,58,64,58,80,65,80,2,FALSE
157,"Typhlosion","Fire",NA,534,78,84,78,109,85,100,2,FALSE
158,"Totodile","Water",NA,314,50,65,64,44,48,43,2,FALSE
159,"Croconaw","Water",NA,405,65,80,80,59,63,58,2,FALSE
160,"Feraligatr","Water",NA,530,85,105,100,79,83,78,2,FALSE
161,"Sentret","Normal",NA,215,35,46,34,35,45,20,2,FALSE
162,"Furret","Normal",NA,415,85,76,64,45,55,90,2,FALSE
163,"Hoothoot","Normal","Flying",262,60,30,30,36,56,50,2,FALSE
164,"Noctowl","Normal","Flying",442,100,50,50,76,96,70,2,FALSE
165,"Ledyba","Bug","Flying",265,40,20,30,40,80,55,2,FALSE
166,"Ledian","Bug","Flying",390,55,35,50,55,110,85,2,FALSE
167,"Spinarak","Bug","Poison",250,40,60,40,40,40,30,2,FALSE
168,"Ariados","Bug","Poison",390,70,90,70,60,60,40,2,FALSE
169,"Crobat","Poison","Flying",535,85,90,80,70,80,130,2,FALSE
170,"Chinchou","Water","Electric",330,75,38,38,56,56,67,2,FALSE
171,"Lanturn","Water","Electric",460,125,58,58,76,76,67,2,FALSE
172,"Pichu","Electric",NA,205,20,40,15,35,35,60,2,FALSE
173,"Cleffa","Fairy",NA,218,50,25,28,45,55,15,2,FALSE
174,"Igglybuff","Normal","Fairy",210,90,30,15,40,20,15,2,FALSE
175,"Togepi","Fairy",NA,245,35,20,65,40,65,20,2,FALSE
176,"Togetic","Fairy","Flying",405,55,40,85,80,105,40,2,FALSE
177,"Natu","Psychic","Flying",320,40,50,45,70,45,70,2,FALSE
178,"Xatu","Psychic","Flying",470,65,75,70,95,70,95,2,FALSE
179,"Mareep","Electric",NA,280,55,40,40,65,45,35,2,FALSE
180,"Flaaffy","Electric",NA,365,70,55,55,80,60,45,2,FALSE
181,"Ampharos","Electric",NA,510,90,75,85,115,90,55,2,FALSE
181,"AmpharosMega Ampharos","Electric","Dragon",610,90,95,105,165,110,45,2,FALSE
182,"Bellossom","Grass",NA,490,75,80,95,90,100,50,2,FALSE
183,"Marill","Water","Fairy",250,70,20,50,20,50,40,2,FALSE
184,"Azumarill","Water","Fairy",420,100,50,80,60,80,50,2,FALSE
185,"Sudowoodo","Rock",NA,410,70,100,115,30,65,30,2,FALSE
186,"Politoed","Water",NA,500,90,75,75,90,100,70,2,FALSE
187,"Hoppip","Grass","Flying",250,35,35,40,35,55,50,2,FALSE
188,"Skiploom","Grass","Flying",340,55,45,50,45,65,80,2,FALSE
189,"Jumpluff","Grass","Flying",460,75,55,70,55,95,110,2,FALSE
190,"Aipom","Normal",NA,360,55,70,55,40,55,85,2,FALSE
191,"Sunkern","Grass",NA,180,30,30,30,30,30,30,2,FALSE
192,"Sunflora","Grass",NA,425,75,75,55,105,85,30,2,FALSE
193,"Yanma","Bug","Flying",390,65,65,45,75,45,95,2,FALSE
194,"Wooper","Water","Ground",210,55,45,45,25,25,15,2,FALSE
195,"Quagsire","Water","Ground",430,95,85,85,65,65,35,2,FALSE
196,"Espeon","Psychic",NA,525,65,65,60,130,95,110,2,FALSE
197,"Umbreon","Dark",NA,525,95,65,110,60,130,65,2,FALSE
198,"Murkrow","Dark","Flying",405,60,85,42,85,42,91,2,FALSE
199,"Slowking","Water","Psychic",490,95,75,80,100,110,30,2,FALSE
200,"Misdreavus","Ghost",NA,435,60,60,60,85,85,85,2,FALSE
201,"Unown","Psychic",NA,336,48,72,48,72,48,48,2,FALSE
202,"Wobbuffet","Psychic",NA,405,190,33,58,33,58,33,2,FALSE
203,"Girafarig","Normal","Psychic",455,70,80,65,90,65,85,2,FALSE
204,"Pineco","Bug",NA,290,50,65,90,35,35,15,2,FALSE
205,"Forretress","Bug","Steel",465,75,90,140,60,60,40,2,FALSE
206,"Dunsparce","Normal",NA,415,100,70,70,65,65,45,2,FALSE
207,"Gligar","Ground","Flying",430,65,75,105,35,65,85,2,FALSE
208,"Steelix","Steel","Ground",510,75,85,200,55,65,30,2,FALSE
208,"SteelixMega Steelix","Steel","Ground",610,75,125,230,55,95,30,2,FALSE
209,"Snubbull","Fairy",NA,300,60,80,50,40,40,30,2,FALSE
210,"Granbull","Fairy",NA,450,90,120,75,60,60,45,2,FALSE
211,"Qwilfish","Water","Poison",430,65,95,75,55,55,85,2,FALSE
212,"Scizor","Bug","Steel",500,70,130,100,55,80,65,2,FALSE
212,"ScizorMega Scizor","Bug","Steel",600,70,150,140,65,100,75,2,FALSE
213,"Shuckle","Bug","Rock",505,20,10,230,10,230,5,2,FALSE
214,"Heracross","Bug","Fighting",500,80,125,75,40,95,85,2,FALSE
214,"HeracrossMega Heracross","Bug","Fighting",600,80,185,115,40,105,75,2,FALSE
215,"Sneasel","Dark","Ice",430,55,95,55,35,75,115,2,FALSE
216,"Teddiursa","Normal",NA,330,60,80,50,50,50,40,2,FALSE
217,"Ursaring","Normal",NA,500,90,130,75,75,75,55,2,FALSE
218,"Slugma","Fire",NA,250,40,40,40,70,40,20,2,FALSE
219,"Magcargo","Fire","Rock",410,50,50,120,80,80,30,2,FALSE
220,"Swinub","Ice","Ground",250,50,50,40,30,30,50,2,FALSE
221,"Piloswine","Ice","Ground",450,100,100,80,60,60,50,2,FALSE
222,"Corsola","Water","Rock",380,55,55,85,65,85,35,2,FALSE
223,"Remoraid","Water",NA,300,35,65,35,65,35,65,2,FALSE
224,"Octillery","Water",NA,480,75,105,75,105,75,45,2,FALSE
225,"Delibird","Ice","Flying",330,45,55,45,65,45,75,2,FALSE
226,"Mantine","Water","Flying",465,65,40,70,80,140,70,2,FALSE
227,"Skarmory","Steel","Flying",465,65,80,140,40,70,70,2,FALSE
228,"Houndour","Dark","Fire",330,45,60,30,80,50,65,2,FALSE
229,"Houndoom","Dark","Fire",500,75,90,50,110,80,95,2,FALSE
229,"HoundoomMega Houndoom","Dark","Fire",600,75,90,90,140,90,115,2,FALSE
230,"Kingdra","Water","Dragon",540,75,95,95,95,95,85,2,FALSE
231,"Phanpy","Ground",NA,330,90,60,60,40,40,40,2,FALSE
232,"Donphan","Ground",NA,500,90,120,120,60,60,50,2,FALSE
233,"Porygon2","Normal",NA,515,85,80,90,105,95,60,2,FALSE
234,"Stantler","Normal",NA,465,73,95,62,85,65,85,2,FALSE
235,"Smeargle","Normal",NA,250,55,20,35,20,45,75,2,FALSE
236,"Tyrogue","Fighting",NA,210,35,35,35,35,35,35,2,FALSE
237,"Hitmontop","Fighting",NA,455,50,95,95,35,110,70,2,FALSE
238,"Smoochum","Ice","Psychic",305,45,30,15,85,65,65,2,FALSE
239,"Elekid","Electric",NA,360,45,63,37,65,55,95,2,FALSE
240,"Magby","Fire",NA,365,45,75,37,70,55,83,2,FALSE
241,"Miltank","Normal",NA,490,95,80,105,40,70,100,2,FALSE
242,"Blissey","Normal",NA,540,255,10,10,75,135,55,2,FALSE
243,"Raikou","Electric",NA,580,90,85,75,115,100,115,2,TRUE
244,"Entei","Fire",NA,580,115,115,85,90,75,100,2,TRUE
245,"Suicune","Water",NA,580,100,75,115,90,115,85,2,TRUE
246,"Larvitar","Rock","Ground",300,50,64,50,45,50,41,2,FALSE
247,"Pupitar","Rock","Ground",410,70,84,70,65,70,51,2,FALSE
248,"Tyranitar","Rock","Dark",600,100,134,110,95,100,61,2,FALSE
248,"TyranitarMega Tyranitar","Rock","Dark",700,100,164,150,95,120,71,2,FALSE
249,"Lugia","Psychic","Flying",680,106,90,130,90,154,110,2,TRUE
250,"Ho-oh","Fire","Flying",680,106,130,90,110,154,90,2,TRUE
251,"Celebi","Psychic","Grass",600,100,100,100,100,100,100,2,FALSE
252,"Treecko","Grass",NA,310,40,45,35,65,55,70,3,FALSE
253,"Grovyle","Grass",NA,405,50,65,45,85,65,95,3,FALSE
254,"Sceptile","Grass",NA,530,70,85,65,105,85,120,3,FALSE
254,"SceptileMega Sceptile","Grass","Dragon",630,70,110,75,145,85,145,3,FALSE
255,"Torchic","Fire",NA,310,45,60,40,70,50,45,3,FALSE
256,"Combusken","Fire","Fighting",405,60,85,60,85,60,55,3,FALSE
257,"Blaziken","Fire","Fighting",530,80,120,70,110,70,80,3,FALSE
257,"BlazikenMega Blaziken","Fire","Fighting",630,80,160,80,130,80,100,3,FALSE
258,"Mudkip","Water",NA,310,50,70,50,50,50,40,3,FALSE
259,"Marshtomp","Water","Ground",405,70,85,70,60,70,50,3,FALSE
260,"Swampert","Water","Ground",535,100,110,90,85,90,60,3,FALSE
260,"SwampertMega Swampert","Water","Ground",635,100,150,110,95,110,70,3,FALSE
261,"Poochyena","Dark",NA,220,35,55,35,30,30,35,3,FALSE
262,"Mightyena","Dark",NA,420,70,90,70,60,60,70,3,FALSE
263,"Zigzagoon","Normal",NA,240,38,30,41,30,41,60,3,FALSE
264,"Linoone","Normal",NA,420,78,70,61,50,61,100,3,FALSE
265,"Wurmple","Bug",NA,195,45,45,35,20,30,20,3,FALSE
266,"Silcoon","Bug",NA,205,50,35,55,25,25,15,3,FALSE
267,"Beautifly","Bug","Flying",395,60,70,50,100,50,65,3,FALSE
268,"Cascoon","Bug",NA,205,50,35,55,25,25,15,3,FALSE
269,"Dustox","Bug","Poison",385,60,50,70,50,90,65,3,FALSE
270,"Lotad","Water","Grass",220,40,30,30,40,50,30,3,FALSE
271,"Lombre","Water","Grass",340,60,50,50,60,70,50,3,FALSE
272,"Ludicolo","Water","Grass",480,80,70,70,90,100,70,3,FALSE
273,"Seedot","Grass",NA,220,40,40,50,30,30,30,3,FALSE
274,"Nuzleaf","Grass","Dark",340,70,70,40,60,40,60,3,FALSE
275,"Shiftry","Grass","Dark",480,90,100,60,90,60,80,3,FALSE
276,"Taillow","Normal","Flying",270,40,55,30,30,30,85,3,FALSE
277,"Swellow","Normal","Flying",430,60,85,60,50,50,125,3,FALSE
278,"Wingull","Water","Flying",270,40,30,30,55,30,85,3,FALSE
279,"Pelipper","Water","Flying",430,60,50,100,85,70,65,3,FALSE
280,"Ralts","Psychic","Fairy",198,28,25,25,45,35,40,3,FALSE
281,"Kirlia","Psychic","Fairy",278,38,35,35,65,55,50,3,FALSE
282,"Gardevoir","Psychic","Fairy",518,68,65,65,125,115,80,3,FALSE
282,"GardevoirMega Gardevoir","Psychic","Fairy",618,68,85,65,165,135,100,3,FALSE
283,"Surskit","Bug","Water",269,40,30,32,50,52,65,3,FALSE
284,"Masquerain","Bug","Flying",414,70,60,62,80,82,60,3,FALSE
285,"Shroomish","Grass",NA,295,60,40,60,40,60,35,3,FALSE
286,"Breloom","Grass","Fighting",460,60,130,80,60,60,70,3,FALSE
287,"Slakoth","Normal",NA,280,60,60,60,35,35,30,3,FALSE
288,"Vigoroth","Normal",NA,440,80,80,80,55,55,90,3,FALSE
289,"Slaking","Normal",NA,670,150,160,100,95,65,100,3,FALSE
290,"Nincada","Bug","Ground",266,31,45,90,30,30,40,3,FALSE
291,"Ninjask","Bug","Flying",456,61,90,45,50,50,160,3,FALSE
292,"Shedinja","Bug","Ghost",236,1,90,45,30,30,40,3,FALSE
293,"Whismur","Normal",NA,240,64,51,23,51,23,28,3,FALSE
294,"Loudred","Normal",NA,360,84,71,43,71,43,48,3,FALSE
295,"Exploud","Normal",NA,490,104,91,63,91,73,68,3,FALSE
296,"Makuhita","Fighting",NA,237,72,60,30,20,30,25,3,FALSE
297,"Hariyama","Fighting",NA,474,144,120,60,40,60,50,3,FALSE
298,"Azurill","Normal","Fairy",190,50,20,40,20,40,20,3,FALSE
299,"Nosepass","Rock",NA,375,30,45,135,45,90,30,3,FALSE
300,"Skitty","Normal",NA,260,50,45,45,35,35,50,3,FALSE
301,"Delcatty","Normal",NA,380,70,65,65,55,55,70,3,FALSE
302,"Sableye","Dark","Ghost",380,50,75,75,65,65,50,3,FALSE
302,"SableyeMega Sableye","Dark","Ghost",480,50,85,125,85,115,20,3,FALSE
303,"Mawile","Steel","Fairy",380,50,85,85,55,55,50,3,FALSE
303,"MawileMega Mawile","Steel","Fairy",480,50,105,125,55,95,50,3,FALSE
304,"Aron","Steel","Rock",330,50,70,100,40,40,30,3,FALSE
305,"Lairon","Steel","Rock",430,60,90,140,50,50,40,3,FALSE
306,"Aggron","Steel","Rock",530,70,110,180,60,60,50,3,FALSE
306,"AggronMega Aggron","Steel",NA,630,70,140,230,60,80,50,3,FALSE
307,"Meditite","Fighting","Psychic",280,30,40,55,40,55,60,3,FALSE
308,"Medicham","Fighting","Psychic",410,60,60,75,60,75,80,3,FALSE
308,"MedichamMega Medicham","Fighting","Psychic",510,60,100,85,80,85,100,3,FALSE
309,"Electrike","Electric",NA,295,40,45,40,65,40,65,3,FALSE
310,"Manectric","Electric",NA,475,70,75,60,105,60,105,3,FALSE
310,"ManectricMega Manectric","Electric",NA,575,70,75,80,135,80,135,3,FALSE
311,"Plusle","Electric",NA,405,60,50,40,85,75,95,3,FALSE
312,"Minun","Electric",NA,405,60,40,50,75,85,95,3,FALSE
313,"Volbeat","Bug",NA,400,65,73,55,47,75,85,3,FALSE
314,"Illumise","Bug",NA,400,65,47,55,73,75,85,3,FALSE
315,"Roselia","Grass","Poison",400,50,60,45,100,80,65,3,FALSE
316,"Gulpin","Poison",NA,302,70,43,53,43,53,40,3,FALSE
317,"Swalot","Poison",NA,467,100,73,83,73,83,55,3,FALSE
318,"Carvanha","Water","Dark",305,45,90,20,65,20,65,3,FALSE
319,"Sharpedo","Water","Dark",460,70,120,40,95,40,95,3,FALSE
319,"SharpedoMega Sharpedo","Water","Dark",560,70,140,70,110,65,105,3,FALSE
320,"Wailmer","Water",NA,400,130,70,35,70,35,60,3,FALSE
321,"Wailord","Water",NA,500,170,90,45,90,45,60,3,FALSE
322,"Numel","Fire","Ground",305,60,60,40,65,45,35,3,FALSE
323,"Camerupt","Fire","Ground",460,70,100,70,105,75,40,3,FALSE
323,"CameruptMega Camerupt","Fire","Ground",560,70,120,100,145,105,20,3,FALSE
324,"Torkoal","Fire",NA,470,70,85,140,85,70,20,3,FALSE
325,"Spoink","Psychic",NA,330,60,25,35,70,80,60,3,FALSE
326,"Grumpig","Psychic",NA,470,80,45,65,90,110,80,3,FALSE
327,"Spinda","Normal",NA,360,60,60,60,60,60,60,3,FALSE
328,"Trapinch","Ground",NA,290,45,100,45,45,45,10,3,FALSE
329,"Vibrava","Ground","Dragon",340,50,70,50,50,50,70,3,FALSE
330,"Flygon","Ground","Dragon",520,80,100,80,80,80,100,3,FALSE
331,"Cacnea","Grass",NA,335,50,85,40,85,40,35,3,FALSE
332,"Cacturne","Grass","Dark",475,70,115,60,115,60,55,3,FALSE
333,"Swablu","Normal","Flying",310,45,40,60,40,75,50,3,FALSE
334,"Altaria","Dragon","Flying",490,75,70,90,70,105,80,3,FALSE
